,item_name,url,origin_price,colors,prices,version,images,category
22,MacBook Pro 16 inch M4 Pro 14CPU 20GPU 48GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-pro-m4-pro-16-inch-48gb-512gb,"73,990,000 ₫","['Bạc', 'Đen']","['73,990,000 ₫', '73,990,000 ₫']","16"" M4 Pro (48GB/512GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-16-inch-m4-pro-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/05/macbook-pro-16-inch-m4-pro-den-1.png']",MACBOOK
23,MacBook Air M3 15.3 inch 8CPU 10GPU 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m3-15-3-inch-16gb-256gb,"31,590,000 ₫","['Vàng', 'Bạc', 'Xám', 'Xanh Đen']","['31,590,000 ₫', '31,590,000 ₫', '31,590,000 ₫', '31,590,000 ₫']","15.3"" (16GB/256GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-starlight-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-sliver-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-space-gray-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-midnight-1.png']",MACBOOK
24,iMac M4 24 inch 2024 Nano 10CPU 10GPU 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/pc/imac-m4-24-inch-mat-kinh-nano-10cpu-10gpu-16gb-256gb,"43,990,000 ₫","['Xanh Dương', 'Hồng', 'Xanh Lá', 'Bạc']","['43,990,000 ₫', '43,990,000 ₫', '43,990,000 ₫', '43,990,000 ₫']",Nano 16GB/256GB,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-xanh-duong-10cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-hong-10cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-xanh-la-10cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-bac-10cpu-1.png']",MACBOOK
25,iMac M4 24 inch 2024 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/pc/imac-m4-24-inch-8cpu-8gpu-16gb-256gb,"33,990,000 ₫","['Xanh Dương', 'Hồng', 'Xanh Lá', 'Bạc']","['33,990,000 ₫', '33,990,000 ₫', '33,990,000 ₫', '33,990,000 ₫']",16GB/256GB,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-xanh-duong-8cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-hong-8cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-xanh-la-8cpu-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/imac-m4-bac-8cpu-1.png']",MACBOOK
26,Mac Mini M4 2024 10CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-mini-m4-16gb-512gb,"19,790,000 ₫",['Mặc định'],[],M4 (16GB/512GB),['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/04/mac-mini-m4-1.png'],MACBOOK
27,MacBook Air M2 13.6 inch 8CPU 8GPU 8GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/lap-top/macbook-air-m2-13-6-2022-256gb-chinh-hang-apple-viet-nam,"29,990,000 ₫","['Xanh Đen', 'Vàng', 'Bạc', 'Xám']","['20,790,000 ₫', '20,990,000 ₫', '20,990,000 ₫', '20,990,000 ₫']","13.6"" (8GB/256GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-xanh-den-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-vang-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-xam-1.png']",MACBOOK
28,MacBook Air M3 13.6 inch 8CPU 8GPU 8GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m3-13-inch-8gb-256gb-chinh-hang-apple-viet-nam,"24,690,000 ₫","['Vàng', 'Bạc', 'Xám', 'Xanh Đen']","['24,690,000 ₫', '24,690,000 ₫', '24,690,000 ₫', '24,690,000 ₫']","13.6"" (8GB/256GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-starlight-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-sliver-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-space-gray-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-midnight-1.png']",MACBOOK
29,iMac M1 2021 24 inch (8GB/512GB) - Chính hãng Apple Việt Nam,https://hoanghamobile.com/pc/apple-imac-2021-m1-24-512gb-chinh-hang-apple-viet-nam,"41,490,000 ₫","['Pink', 'Green']","['31,500,000 ₫', '31,500,000 ₫']",8GB/512GB,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2021/04/23/pink.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2021/04/23/green.png']",MACBOOK
30,MacBook Air M3 13.6 inch 8CPU 10GPU 16GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m3-13-inch-16gb-512gb-chinh-hang-apple-viet-nam,"31,290,000 ₫","['Vàng', 'Bạc', 'Xám', 'Xanh Đen']","['31,290,000 ₫', '31,290,000 ₫', '31,290,000 ₫', '31,290,000 ₫']","13.6"" (16GB/512GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/01/06/macbook-air-m3-vang-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-sliver-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-midnight-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-space-gray-1.png']",MACBOOK
31,MacBook Air M3 15.3 inch 8CPU 10GPU 8GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m3-15-inch-8gb-256gb-chinh-hang-apple-viet-nam,"28,390,000 ₫","['Vàng', 'Xám', 'Bạc', 'Xanh Đen']","['28,390,000 ₫', '28,390,000 ₫', '28,390,000 ₫', '28,390,000 ₫']","15.3"" (8GB/256GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-starlight-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-space-gray-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-sliver-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-15-inch-midnight-1.png']",MACBOOK
